Trump	Clinton	Johnson	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
41	51		3	5	nbc-wsj-26190	NBC/WSJ	2016-10-10	2016-10-13	And, if the election for president were held today, with only Donald Trump and Mike Pence as the Republican candidates, and Hillary Clinton and Tim Kaine as the Democratic candidates, for whom would you vote?	Likely Voters	905	3.26	Live Phone	Nonpartisan	None
43	47	5	2	3	abc-post-26184	ABC/Post	2016-10-10	2016-10-13		Likely Voters	740	4	Live Phone	Nonpartisan	None
46	50		2	2	abc-post-26184	ABC/Post	2016-10-10	2016-10-13		Likely Voters	740	4	Live Phone	Nonpartisan	None
39	47	7	2	4	gwu-battleground-26193	GWU/Battleground	2016-10-08	2016-10-13		Likely Voters	1000	3.1	Live Phone	Nonpartisan	None
5	87	3	2	2	gwu-battleground-26193	GWU/Battleground	2016-10-08	2016-10-13		Likely Voters - Democrat	440		Live Phone	Nonpartisan	None
81	7	9	0	3	gwu-battleground-26193	GWU/Battleground	2016-10-08	2016-10-13		Likely Voters - Republican	400		Live Phone	Nonpartisan	None
31	33	16	7	13	gwu-battleground-26193	GWU/Battleground	2016-10-08	2016-10-13		Likely Voters - independent	160		Live Phone	Nonpartisan	None
45	50		4		upi-cvoter-26181	UPI/CVOTER	2016-10-07	2016-10-13		Likely Voters	1482		Internet	Nonpartisan	None
36	44	7	2	11	lucid-the-times-picayune-26469	Lucid/The Times-Picayune	2016-10-10	2016-10-12		Likely Voters	542		Internet	Nonpartisan	None
38	45	7	4	6	fox-26165	FOX	2016-10-10	2016-10-12		Likely Voters	917	3	Live Phone	Nonpartisan	None
5	81	6	3	4	fox-26165	FOX	2016-10-10	2016-10-12		Likely Voters - Democrat		5	Live Phone	Nonpartisan	None
80	6	7	1	6	fox-26165	FOX	2016-10-10	2016-10-12		Likely Voters - Republican		5	Live Phone	Nonpartisan	None
35	35	9	13	9	fox-26165	FOX	2016-10-10	2016-10-12		Likely Voters - independent		7	Live Phone	Nonpartisan	None
41	49		1	9	fox-26165	FOX	2016-10-10	2016-10-12		Likely Voters	917	3	Live Phone	Nonpartisan	None
7	85		1	7	fox-26165	FOX	2016-10-10	2016-10-12		Likely Voters - Democrat		5	Live Phone	Nonpartisan	None
83	9		1	7	fox-26165	FOX	2016-10-10	2016-10-12		Likely Voters - Republican		5	Live Phone	Nonpartisan	None
39	43		5	13	fox-26165	FOX	2016-10-10	2016-10-12		Likely Voters - independent		7	Live Phone	Nonpartisan	None
43	41	6	6	4	rasmussen-26154	Rasmussen	2016-10-10	2016-10-12	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
15	76	3	5	2	rasmussen-26154	Rasmussen	2016-10-10	2016-10-12	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters - Democrat			IVR/Online	Nonpartisan	None
75	13	4	4	4	rasmussen-26154	Rasmussen	2016-10-10	2016-10-12	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters - Republican			IVR/Online	Nonpartisan	None
42	30	13	8	7	rasmussen-26154	Rasmussen	2016-10-10	2016-10-12	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters - independent			IVR/Online	Nonpartisan	None
45	50		5		upi-cvoter-26180	UPI/CVOTER	2016-10-06	2016-10-12		Likely Voters	1402		Internet	Nonpartisan	None
37	42	6	5	10	insights-west-26144	Insights West	2016-10-10	2016-10-11	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	953	3.2	Internet	Nonpartisan	None
5	87	2	0	6	insights-west-26144	Insights West	2016-10-10	2016-10-11	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters - Democrat			Internet	Nonpartisan	None
74	8	5	5	8	insights-west-26144	Insights West	2016-10-10	2016-10-11	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters - Republican			Internet	Nonpartisan	None
31	32	12	10	15	insights-west-26144	Insights West	2016-10-10	2016-10-11	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters - independent			Internet	Nonpartisan	None
37	43	7	3	11	lucid-the-times-picayune-26467	Lucid/The Times-Picayune	2016-10-09	2016-10-11		Likely Voters	547		Internet	Nonpartisan	None
39	43	7	6	5	rasmussen-26140	Rasmussen	2016-10-09	2016-10-11	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
11	78	3	5	2	rasmussen-26140	Rasmussen	2016-10-09	2016-10-11	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters - Democrat			IVR/Online	Nonpartisan	None
71	16	5	4	5	rasmussen-26140	Rasmussen	2016-10-09	2016-10-11	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters - Republican			IVR/Online	Nonpartisan	None
38	30	15	11	7	rasmussen-26140	Rasmussen	2016-10-09	2016-10-11	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters - independent			IVR/Online	Nonpartisan	None
44	50		5		upi-cvoter-26179	UPI/CVOTER	2016-10-05	2016-10-11		Likely Voters	1367		Internet	Nonpartisan	None
41	46			13	politico-morning-consult-26084	Politico/Morning Consult	2016-10-10	2016-10-10		Likely Voters	1757	3	Internet	Nonpartisan	None
9	85			6	politico-morning-consult-26084	Politico/Morning Consult	2016-10-10	2016-10-10		Likely Voters - Democrat	677		Internet	Nonpartisan	None
83	9			8	politico-morning-consult-26084	Politico/Morning Consult	2016-10-10	2016-10-10		Likely Voters - Republican	550		Internet	Nonpartisan	None
38	36			26	politico-morning-consult-26084	Politico/Morning Consult	2016-10-10	2016-10-10		Likely Voters - independent	529		Internet	Nonpartisan	None
37	42	10	3	7	politico-morning-consult-26084	Politico/Morning Consult	2016-10-10	2016-10-10		Likely Voters	1757	3	Internet	Nonpartisan	None
8	81	4	3	4	politico-morning-consult-26084	Politico/Morning Consult	2016-10-10	2016-10-10		Likely Voters - Democrat	677		Internet	Nonpartisan	None
77	7	10	1	5	politico-morning-consult-26084	Politico/Morning Consult	2016-10-10	2016-10-10		Likely Voters - Republican	550		Internet	Nonpartisan	None
34	29	18	6	14	politico-morning-consult-26084	Politico/Morning Consult	2016-10-10	2016-10-10		Likely Voters - independent	529		Internet	Nonpartisan	None
37	44	7	2	11	lucid-the-times-picayune-26466	Lucid/The Times-Picayune	2016-10-08	2016-10-10		Likely Voters	543		Internet	Nonpartisan	None
37	46	8	6	3	nbc-wsj-26066	NBC/WSJ	2016-10-08	2016-10-10	If the next election for president were held today, with Donald Trump as the Republican candidate, Hillary Clinton as the Democratic candidate, Gary Johnson the Libertarian candidate, and Jill Stein the Green Party candidate for whom would you vote?	Likely Voters	806	3.45	Live Phone	Nonpartisan	None
40	50		7	3	nbc-wsj-26066	NBC/WSJ	2016-10-08	2016-10-10	And, if the election for president were held today, with only Donald Trump and Mike Pence as the Republican candidates, and Hillary Clinton and Tim Kaine as the Democratic candidates, for whom would you vote?	Likely Voters	806	3.45	Live Phone	Nonpartisan	None
37	44		9	10	ipsos-reuters-26141	Ipsos/Reuters	2016-10-06	2016-10-10	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters	2363	2.3	Internet	Nonpartisan	None
9	79		5	6	ipsos-reuters-26141	Ipsos/Reuters	2016-10-06	2016-10-10	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters - Democrat			Internet	Nonpartisan	None
77	8		9	6	ipsos-reuters-26141	Ipsos/Reuters	2016-10-06	2016-10-10	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters - Republican			Internet	Nonpartisan	None
32	24		27	17	ipsos-reuters-26141	Ipsos/Reuters	2016-10-06	2016-10-10	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters - independent			Internet	Nonpartisan	None
37	44	6	4	9	ipsos-reuters-26141	Ipsos/Reuters	2016-10-06	2016-10-10	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters	2363	2.3	Internet	Nonpartisan	None
10	79	4	3	4	ipsos-reuters-26141	Ipsos/Reuters	2016-10-06	2016-10-10	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters - Democrat			Internet	Nonpartisan	None
77	8	7	4	6	ipsos-reuters-26141	Ipsos/Reuters	2016-10-06	2016-10-10	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters - Republican			Internet	Nonpartisan	None
31	23	15	16	15	ipsos-reuters-26141	Ipsos/Reuters	2016-10-06	2016-10-10	If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?	Likely Voters - independent			Internet	Nonpartisan	None
39	44	7	6	4	rasmussen-26087	Rasmussen	2016-10-06	2016-10-10	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters	1500	2.4	IVR/Online	Nonpartisan	None
11	80	4	4	1	rasmussen-26087	Rasmussen	2016-10-06	2016-10-10	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters - Democrat			IVR/Online	Nonpartisan	None
69	17	6	4	4	rasmussen-26087	Rasmussen	2016-10-06	2016-10-10	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters - Republican			IVR/Online	Nonpartisan	None
39	29	13	12	7	rasmussen-26087	Rasmussen	2016-10-06	2016-10-10	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters - independent			IVR/Online	Nonpartisan	None
44	50		6		upi-cvoter-26092	UPI/CVOTER	2016-10-04	2016-10-10		Likely Voters	1367		Internet	Nonpartisan	None
39	46	10	5	0	pew-26176	Pew	2016-09-27	2016-10-10		Registered Voters	3616	2.9	Live Phone	Nonpartisan	None
44	53		1	2	pew-26176	Pew	2016-09-27	2016-10-10		Registered Voters	3616	2.9	Live Phone	Nonpartisan	None
37	45	6	2	10	lucid-the-times-picayune-26465	Lucid/The Times-Picayune	2016-10-07	2016-10-09		Likely Voters	546		Internet	Nonpartisan	None
38	49	2	4	8	public-religion-research-institute-the-atlantic-26086	Public Religion Research Institute/The Atlantic	2016-10-05	2016-10-09		Likely Voters	886	3.9	Live Phone	Nonpartisan	None
38	45	7	5	5	rasmussen-26021	Rasmussen	2016-10-05	2016-10-09	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
10	83	3	3	2	rasmussen-26021	Rasmussen	2016-10-05	2016-10-09	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters - Democrat			IVR/Online	Nonpartisan	None
71	16	5	2	5	rasmussen-26021	Rasmussen	2016-10-05	2016-10-09	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters - Republican			IVR/Online	Nonpartisan	None
37	31	12	12	8	rasmussen-26021	Rasmussen	2016-10-05	2016-10-09	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters - independent			IVR/Online	Nonpartisan	None
44	50		6		upi-cvoter-26076	UPI/CVOTER	2016-10-03	2016-10-09		Likely Voters	1350		Internet	Nonpartisan	None
44	51			5	nbc-surveymonkey-26017	NBC/SurveyMonkey	2016-10-03	2016-10-09	If the 2016 presidential election were being held today among the following candidates, for whom would you vote?	Likely Voters	23329	1	Internet	Nonpartisan	None
41	46	8	3	2	nbc-surveymonkey-26017	NBC/SurveyMonkey	2016-10-03	2016-10-09	If the 2016 presidential election were being held today among the following candidates for whom would you vote?	Likely Voters	23329	1	Internet	Nonpartisan	None
41	45			14	politico-morning-consult-26013	Politico/Morning Consult	2016-10-08	2016-10-08	If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?	Likely Voters	1390	3	Internet	Nonpartisan	None
6	88			6	politico-morning-consult-26013	Politico/Morning Consult	2016-10-08	2016-10-08	If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?	Likely Voters - Democrat	491		Internet	Nonpartisan	None
78	7			15	politico-morning-consult-26013	Politico/Morning Consult	2016-10-08	2016-10-08	If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?	Likely Voters - Republican	480		Internet	Nonpartisan	None
40	38			22	politico-morning-consult-26013	Politico/Morning Consult	2016-10-08	2016-10-08	If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?	Likely Voters - independent	419		Internet	Nonpartisan	None
38	42	8	3	9	politico-morning-consult-26013	Politico/Morning Consult	2016-10-08	2016-10-08	If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein, for whom would you vote?	Likely Voters	1390	3	Internet	Nonpartisan	None
5	87	3	2	3	politico-morning-consult-26013	Politico/Morning Consult	2016-10-08	2016-10-08	If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein, for whom would you vote?	Likely Voters - Democrat	491		Internet	Nonpartisan	None
74	7	6	1	12	politico-morning-consult-26013	Politico/Morning Consult	2016-10-08	2016-10-08	If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein, for whom would you vote?	Likely Voters - Republican	480		Internet	Nonpartisan	None
35	30	16	5	14	politico-morning-consult-26013	Politico/Morning Consult	2016-10-08	2016-10-08	If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein, for whom would you vote?	Likely Voters - independent	419		Internet	Nonpartisan	None
38	44	5	4	9	yougov-economist-26019	YouGov/Economist	2016-10-07	2016-10-08	If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?	Registered Voters	1135		Internet	Nonpartisan	None
6	87	1	2	4	yougov-economist-26019	YouGov/Economist	2016-10-07	2016-10-08	If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?	Registered Voters - Democrat	454		Internet	Nonpartisan	None
81	3	6	4	5	yougov-economist-26019	YouGov/Economist	2016-10-07	2016-10-08	If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?	Registered Voters - Republican	317		Internet	Nonpartisan	None
35	36	8	5	16	yougov-economist-26019	YouGov/Economist	2016-10-07	2016-10-08	If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?	Registered Voters - independent	364		Internet	Nonpartisan	None
43	48		9	1	yougov-economist-26019	YouGov/Economist	2016-10-07	2016-10-08		Registered Voters	1135		Internet	Nonpartisan	None
6	91		3	0	yougov-economist-26019	YouGov/Economist	2016-10-07	2016-10-08		Registered Voters - Democrat	454		Internet	Nonpartisan	None
87	5		7	0	yougov-economist-26019	YouGov/Economist	2016-10-07	2016-10-08		Registered Voters - Republican	317		Internet	Nonpartisan	None
44	40		14	2	yougov-economist-26019	YouGov/Economist	2016-10-07	2016-10-08		Registered Voters - independent	364		Internet	Nonpartisan	None
36	45	7	2	10	lucid-the-times-picayune-26463	Lucid/The Times-Picayune	2016-10-06	2016-10-08		Likely Voters	536		Internet	Nonpartisan	None
46	48		6		upi-cvoter-26075	UPI/CVOTER	2016-10-02	2016-10-08		Likely Voters	1325		Internet	Nonpartisan	None
36	46	7	2	10	lucid-the-times-picayune-26462	Lucid/The Times-Picayune	2016-10-05	2016-10-07		Likely Voters	533		Internet	Nonpartisan	None
47	48		6		upi-cvoter-26074	UPI/CVOTER	2016-10-01	2016-10-07		Likely Voters	1286		Internet	Nonpartisan	None
40	45	6	3	4	quinnipiac-25995	Quinnipiac	2016-10-05	2016-10-06	If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?	Likely Voters	1064	3	Live Phone	Nonpartisan	None
3	89	2	3	2	quinnipiac-25995	Quinnipiac	2016-10-05	2016-10-06	If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?	Likely Voters - Democrat			Live Phone	Nonpartisan	None
87	5	5	1	2	quinnipiac-25995	Quinnipiac	2016-10-05	2016-10-06	If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?	Likely Voters - Republican			Live Phone	Nonpartisan	None
32	46	10	8	4	quinnipiac-25995	Quinnipiac	2016-10-05	2016-10-06	If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?	Likely Voters - independent			Live Phone	Nonpartisan	None
44	50		1	5	quinnipiac-25995	Quinnipiac	2016-10-05	2016-10-06	If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?	Likely Voters	1064	3	Live Phone	Nonpartisan	None
4	95		0	1	quinnipiac-25995	Quinnipiac	2016-10-05	2016-10-06	If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?	Likely Voters - Democrat			Live Phone	Nonpartisan	None
91	5		1	2	quinnipiac-25995	Quinnipiac	2016-10-05	2016-10-06	If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?	Likely Voters - Republican			Live Phone	Nonpartisan	None
37	57		0	5	quinnipiac-25995	Quinnipiac	2016-10-05	2016-10-06	If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?	Likely Voters - independent			Live Phone	Nonpartisan	None
35	45	7	2	10	lucid-the-times-picayune-26461	Lucid/The Times-Picayune	2016-10-04	2016-10-06		Likely Voters	1364		Internet	Nonpartisan	None
42	43	7	4	4	rasmussen-25993	Rasmussen	2016-10-04	2016-10-06	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
12	82	2	3	1	rasmussen-25993	Rasmussen	2016-10-04	2016-10-06	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters - Democrat			IVR/Online	Nonpartisan	None
76	13	5	1	4	rasmussen-25993	Rasmussen	2016-10-04	2016-10-06	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters - Republican			IVR/Online	Nonpartisan	None
41	29	14	8	8	rasmussen-25993	Rasmussen	2016-10-04	2016-10-06	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters - independent			IVR/Online	Nonpartisan	None
42	44	6	3	5	fox-25998	FOX	2016-10-03	2016-10-06		Likely Voters	896	3	Live Phone	Nonpartisan	None
3	87	4	4	3	fox-25998	FOX	2016-10-03	2016-10-06		Likely Voters - Democrat		5	Live Phone	Nonpartisan	None
84	4	6	1	5	fox-25998	FOX	2016-10-03	2016-10-06		Likely Voters - Republican		5	Live Phone	Nonpartisan	None
39	35	11	8	7	fox-25998	FOX	2016-10-03	2016-10-06		Likely Voters - independent		7	Live Phone	Nonpartisan	None
44	48		1	7	fox-25998	FOX	2016-10-03	2016-10-06		Likely Voters	896	3	Live Phone	Nonpartisan	None
4	91		0	5	fox-25998	FOX	2016-10-03	2016-10-06		Likely Voters - Democrat		5	Live Phone	Nonpartisan	None
87	8		1	4	fox-25998	FOX	2016-10-03	2016-10-06		Likely Voters - Republican		5	Live Phone	Nonpartisan	None
42	40		3	15	fox-25998	FOX	2016-10-03	2016-10-06		Likely Voters - independent		7	Live Phone	Nonpartisan	None
47	48		6		upi-cvoter-26006	UPI/CVOTER	2016-09-30	2016-10-06		Likely Voters	1250	3	Internet	Nonpartisan	None
35	47	7	2	9	lucid-the-times-picayune-26460	Lucid/The Times-Picayune	2016-10-03	2016-10-05		Likely Voters	447		Internet	Nonpartisan	None
43	41	8	5	4	rasmussen-25992	Rasmussen	2016-10-03	2016-10-05	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
15	77	3	3	2	rasmussen-25992	Rasmussen	2016-10-03	2016-10-05	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters - Democrat			IVR/Online	Nonpartisan	None
77	12	4	2	4	rasmussen-25992	Rasmussen	2016-10-03	2016-10-05	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters - Republican			IVR/Online	Nonpartisan	None
40	28	18	9	5	rasmussen-25992	Rasmussen	2016-10-03	2016-10-05	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters - independent			IVR/Online	Nonpartisan	None
47	47		5		upi-cvoter-26005	UPI/CVOTER	2016-09-29	2016-10-05		Likely Voters	1257	3	Internet	Nonpartisan	None
37	45	6	3	9	lucid-the-times-picayune-26459	Lucid/The Times-Picayune	2016-10-02	2016-10-04		Likely Voters	451		Internet	Nonpartisan	None
42	41	8	4	3	rasmussen-25968	Rasmussen	2016-10-02	2016-10-04	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters	1500	2	IVR/Online	Nonpartisan	None
13	77	4	3	3	rasmussen-25968	Rasmussen	2016-10-02	2016-10-04	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters - Democrat			IVR/Online	Nonpartisan	None
78	10	4	4	4	rasmussen-25968	Rasmussen	2016-10-02	2016-10-04	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters - Republican			IVR/Online	Nonpartisan	None
39	32	17	8	4	rasmussen-25968	Rasmussen	2016-10-02	2016-10-04	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters - independent			IVR/Online	Nonpartisan	None
48	47		5		upi-cvoter-26004	UPI/CVOTER	2016-09-28	2016-10-04		Likely Voters	1274	3	Internet	Nonpartisan	None
38	45	5	3	9	lucid-the-times-picayune-26458	Lucid/The Times-Picayune	2016-10-01	2016-10-03		Likely Voters	424		Internet	Nonpartisan	None
40	43	5	5	7	yougov-economist-25893	YouGov/Economist	2016-10-01	2016-10-03	If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?	Registered Voters	1055		Internet	Nonpartisan	None
8	84	2	2	5	yougov-economist-25893	YouGov/Economist	2016-10-01	2016-10-03	If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?	Registered Voters - Democrat	415		Internet	Nonpartisan	None
85	5	4	2	4	yougov-economist-25893	YouGov/Economist	2016-10-01	2016-10-03	If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?	Registered Voters - Republican	255		Internet	Nonpartisan	None
36	35	7	10	11	yougov-economist-25893	YouGov/Economist	2016-10-01	2016-10-03	If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?	Registered Voters - independent	385		Internet	Nonpartisan	None
43	48		8	1	yougov-economist-25893	YouGov/Economist	2016-10-01	2016-10-03		Registered Voters	1055		Internet	Nonpartisan	None
8	88		4	0	yougov-economist-25893	YouGov/Economist	2016-10-01	2016-10-03		Registered Voters - Democrat	415		Internet	Nonpartisan	None
90	7		2	1	yougov-economist-25893	YouGov/Economist	2016-10-01	2016-10-03		Registered Voters - Republican	255		Internet	Nonpartisan	None
41	41		15	2	yougov-economist-25893	YouGov/Economist	2016-10-01	2016-10-03		Registered Voters - independent	385		Internet	Nonpartisan	None
41	42	9	4	4	rasmussen-25967	Rasmussen	2016-09-29	2016-10-03	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters	1500	2.5	IVR/Online	Nonpartisan	None
12	77	5	3	3	rasmussen-25967	Rasmussen	2016-09-29	2016-10-03	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters - Democrat			IVR/Online	Nonpartisan	None
76	10	7	3	4	rasmussen-25967	Rasmussen	2016-09-29	2016-10-03	If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?	Likely Voters - Republican			IVR/Online	Nonpartisan	None
