Trump,Clinton,end_date,,Johnson,Other,Undecided,survey_house,start_date,end_date
46,49,2016-09-21,,,5,,UPI/CVOTER,2016-09-15,2016-09-21
41,48,2016-09-20,,,9,2,McClatchy/Marist,2016-09-15,2016-09-20
39,45,2016-09-20,,10,5,2,McClatchy/Marist,2016-09-15,2016-09-20
47,48,2016-09-20,,,5,,UPI/CVOTER,2016-09-14,2016-09-20
37,43,2016-09-19,,9,7,4,NBC/WSJ,2016-09-16,2016-09-19
41,48,2016-09-19,,,4,7,NBC/WSJ,2016-09-16,2016-09-19
39,45,2016-09-19,,9,2,5,AP-GfK (web),2016-09-15,2016-09-19
44,50,2016-09-19,,,,6,AP-GfK (web),2016-09-15,2016-09-19
39,39,2016-09-19,,,10,11,Ipsos/Reuters,2016-09-15,2016-09-19
39,37,2016-09-19,,7,5,10,Ipsos/Reuters,2016-09-15,2016-09-19
47,49,2016-09-19,,,5,,UPI/CVOTER,2016-09-13,2016-09-19
47,48,2016-09-18,,,5,,UPI/CVOTER,2016-09-12,2016-09-18
45,50,2016-09-18,,,,6,NBC/SurveyMonkey,2016-09-12,2016-09-18
40,45,2016-09-18,,10,4,2,NBC/SurveyMonkey,2016-09-12,2016-09-18
48,47,2016-09-17,,,5,,UPI/CVOTER,2016-09-11,2016-09-17
42,46,2016-09-16,,,,12,Morning Consult,2016-09-15,2016-09-16
40,42,2016-09-16,,8,3,7,Morning Consult,2016-09-15,2016-09-16
41,46,2016-09-16,,9,4,,Saint Leo University,2016-09-10,2016-09-16
47,47,2016-09-16,,,5,,UPI/CVOTER,2016-09-10,2016-09-16
48,47,2016-09-15,,,5,,UPI/CVOTER,2016-09-09,2016-09-15
40,41,2016-09-14,,8,4,6,FOX,2016-09-11,2016-09-14
46,45,2016-09-14,,,2,7,FOX,2016-09-11,2016-09-14
48,47,2016-09-14,,,5,,UPI/CVOTER,2016-09-08,2016-09-14
42,40,2016-09-13,,7,4,7,Rasmussen,2016-09-12,2016-09-13
44,46,2016-09-13,,,5,4,CBS/Times,2016-09-09,2016-09-13
42,42,2016-09-13,,8,5,2,CBS/Times,2016-09-09,2016-09-13
43,48,2016-09-13,,,3,6,Quinnipiac,2016-09-08,2016-09-13
39,41,2016-09-13,,13,4,3,Quinnipiac,2016-09-08,2016-09-13
48,47,2016-09-13,,,5,,UPI/CVOTER,2016-09-07,2016-09-13
39,40,2016-09-12,,,9,11,Ipsos/Reuters,2016-09-08,2016-09-12
39,39,2016-09-12,,8,4,10,Ipsos/Reuters,2016-09-08,2016-09-12
49,46,2016-09-12,,,5,,UPI/CVOTER,2016-09-06,2016-09-12
49,46,2016-09-11,,,5,,UPI/CVOTER,2016-09-05,2016-09-11
49,45,2016-09-10,,,6,,UPI/CVOTER,2016-09-04,2016-09-10
49,46,2016-09-09,,,6,,UPI/CVOTER,2016-09-03,2016-09-09
43,44,2016-09-08,,,,13,Morning Consult,2016-09-06,2016-09-08
39,41,2016-09-08,,10,3,8,Morning Consult,2016-09-06,2016-09-08
41,46,2016-09-08,,9,3,2,ABC/Post,2016-09-05,2016-09-08
43,51,2016-09-08,,,3,2,ABC/Post,2016-09-05,2016-09-08
48,46,2016-09-08,,,6,,UPI/CVOTER,2016-09-02,2016-09-08
39,43,2016-09-07,,9,4,5,Rasmussen,2016-09-06,2016-09-07
48,47,2016-09-07,,,6,,UPI/CVOTER,2016-09-01,2016-09-07
47,47,2016-09-06,,,6,,UPI/CVOTER,2016-08-31,2016-09-06
38,40,2016-09-05,,,11,11,Ipsos/Reuters,2016-09-01,2016-09-05
38,40,2016-09-05,,8,5,9,Ipsos/Reuters,2016-09-01,2016-09-05
46,48,2016-09-05,,,6,,UPI/CVOTER,2016-08-30,2016-09-05
45,43,2016-09-04,,7,2,1,CNN,2016-09-01,2016-09-04
49,48,2016-09-04,,,4,0,CNN,2016-09-01,2016-09-04
41,44,2016-09-04,,8,4,3,Franklin Pierce/RKM/Boston Herald,2016-08-31,2016-09-04
47,49,2016-09-04,,,5,,UPI/CVOTER,2016-08-29,2016-09-04
46,49,2016-09-03,,,5,,UPI/CVOTER,2016-08-28,2016-09-03
45,49,2016-09-02,,,6,,UPI/CVOTER,2016-08-27,2016-09-02
40,42,2016-09-01,,11,3,5,GWU/Battleground,2016-08-28,2016-09-01
45,49,2016-09-01,,,6,,UPI/CVOTER,2016-08-26,2016-09-01
43,44,2016-09-01,,,4,8,IBD/TIPP,2016-08-26,2016-09-01
39,39,2016-09-01,,12,4,6,IBD/TIPP,2016-08-26,2016-09-01
46,48,2016-08-31,,,6,,UPI/CVOTER,2016-08-25,2016-08-31
40,39,2016-08-30,,7,6,7,Rasmussen,2016-08-29,2016-08-30
46,49,2016-08-30,,,5,,UPI/CVOTER,2016-08-24,2016-08-30
39,40,2016-08-29,,,9,12,Ipsos/Reuters,2016-08-25,2016-08-29
38,40,2016-08-29,,6,6,11,Ipsos/Reuters,2016-08-25,2016-08-29
41,48,2016-08-29,,,,11,Suffolk/USA Today,2016-08-24,2016-08-29
35,42,2016-08-29,,9,4,11,Suffolk/USA Today,2016-08-24,2016-08-29
47,50,2016-08-29,,,3,,UPI/CVOTER,2016-08-23,2016-08-29
37,42,2016-08-28,,6,5,10,PPP (D),2016-08-26,2016-08-28
43,48,2016-08-28,,,,9,PPP (D),2016-08-26,2016-08-28
39,46,2016-08-28,,7,3,5,Monmouth University,2016-08-25,2016-08-28
42,49,2016-08-28,,,4,5,Monmouth University,2016-08-25,2016-08-28
47,50,2016-08-28,,,3,,UPI/CVOTER,2016-08-22,2016-08-28
47,50,2016-08-27,,,3,,UPI/CVOTER,2016-08-21,2016-08-27
38,42,2016-08-24,,9,5,7,Rasmussen,2016-08-23,2016-08-24
35,42,2016-08-24,,,9,13,Ipsos/Reuters,2016-08-20,2016-08-24
36,39,2016-08-24,,7,6,12,Ipsos/Reuters,2016-08-20,2016-08-24
49,48,2016-08-24,,,4,,UPI/CVOTER,2016-08-18,2016-08-24
41,51,2016-08-24,,,3,4,Quinnipiac,2016-08-18,2016-08-24
38,45,2016-08-24,,10,4,3,Quinnipiac,2016-08-18,2016-08-24
48,48,2016-08-23,,,4,,UPI/CVOTER,2016-08-17,2016-08-23
47,48,2016-08-22,,,4,,UPI/CVOTER,2016-08-16,2016-08-22
47,48,2016-08-21,,,5,,UPI/CVOTER,2016-08-15,2016-08-21
48,48,2016-08-20,,,4,,UPI/CVOTER,2016-08-14,2016-08-20
36,41,2016-08-17,,,10,13,Ipsos/Reuters,2016-08-13,2016-08-17
35,39,2016-08-17,,7,6,13,Ipsos/Reuters,2016-08-13,2016-08-17
46,50,2016-08-17,,,5,,UPI/CVOTER,2016-08-11,2016-08-17
39,41,2016-08-16,,9,6,5,Rasmussen,2016-08-15,2016-08-16
44,51,2016-08-16,,,5,,UPI/CVOTER,2016-08-09,2016-08-16
40,50,2016-08-15,,,5,5,"Normington, Petts & Associates (D-End Citizens United)",2016-08-09,2016-08-15
37,45,2016-08-15,,8,4,6,"Normington, Petts & Associates (D-End Citizens United)",2016-08-09,2016-08-15
44,51,2016-08-15,,,5,,UPI/CVOTER,2016-08-09,2016-08-15
45,51,2016-08-14,,,5,,UPI/CVOTER,2016-08-08,2016-08-14
36,38,2016-08-13,,8,5,13,Zogby (Internet),2016-08-12,2016-08-13
46,49,2016-08-13,,,6,,UPI/CVOTER,2016-08-07,2016-08-13
40,43,2016-08-10,,8,6,3,Rasmussen,2016-08-09,2016-08-10
36,42,2016-08-10,,,10,12,Ipsos/Reuters,2016-08-06,2016-08-10
35,40,2016-08-10,,7,7,11,Ipsos/Reuters,2016-08-06,2016-08-10
45,50,2016-08-10,,,5,,UPI/CVOTER,2016-08-03,2016-08-10
46,48,2016-08-09,,,6,,UPI/CVOTER,2016-08-03,2016-08-09
40,44,2016-08-08,,9,4,3,Bloomberg/Selzer,2016-08-05,2016-08-08
44,50,2016-08-08,,,3,3,Bloomberg/Selzer,2016-08-05,2016-08-08
45,49,2016-08-08,,,6,,UPI/CVOTER,2016-08-02,2016-08-08
37,50,2016-08-07,,7,3,3,Monmouth University,2016-08-04,2016-08-07
44,49,2016-08-07,,,7,,UPI/CVOTER,2016-08-01,2016-08-07
43,50,2016-08-06,,,7,,UPI/CVOTER,2016-07-31,2016-08-06
44,51,2016-08-04,,,3,1,ABC/Post,2016-08-01,2016-08-04
39,47,2016-08-04,,7,4,4,ABC/Post,2016-08-01,2016-08-04
44,50,2016-08-04,,,6,,UPI/CVOTER,2016-07-29,2016-08-04
39,43,2016-08-03,,,9,10,Ipsos/Reuters,2016-07-30,2016-08-03
38,42,2016-08-03,,6,4,10,Ipsos/Reuters,2016-07-30,2016-08-03
44,50,2016-08-03,,,7,,UPI/CVOTER,2016-07-28,2016-08-03
40,44,2016-08-02,,6,6,4,Rasmussen,2016-08-01,2016-08-02
46,49,2016-08-02,,,5,,UPI/CVOTER,2016-07-27,2016-08-02
40,45,2016-08-01,,5,,10,Penn Schoen Berland,2016-07-29,2016-08-01
46,49,2016-07-31,,,5,,UPI/CVOTER,2016-07-25,2016-07-31
41,46,2016-07-30,,6,2,5,PPP (D),2016-07-29,2016-07-30
45,50,2016-07-30,,,,5,PPP (D),2016-07-29,2016-07-30
31,46,2016-07-29,,7,2,15,RABA Research,2016-07-29,2016-07-29
35,40,2016-07-29,,,8,17,Ipsos/Reuters,2016-07-25,2016-07-29
37,37,2016-07-29,,5,6,15,Ipsos/Reuters,2016-07-25,2016-07-29
42,43,2016-07-27,,,10,4,Rasmussen,2016-07-26,2016-07-27
44,41,2016-07-24,,6,,10,Penn Schoen Berland,2016-07-22,2016-07-24
34,39,2016-07-22,,8,3,15,RABA Research,2016-07-22,2016-07-22
43,42,2016-07-19,,,11,4,Rasmussen,2016-07-18,2016-07-19
40,43,2016-07-18,,11,4,2,GQR (D-Democracy Corps),2016-07-13,2016-07-18
43,50,2016-07-18,,,1,6,GQR (D-Democracy Corps),2016-07-13,2016-07-18
41,44,2016-07-16,,7,5,3,Franklin Pierce/RKM/Boston Herald,2016-07-12,2016-07-16
44,37,2016-07-13,,,13,6,Rasmussen,2016-07-12,2016-07-13
29,41,2016-07-09,,9,2,18,RABA Research,2016-07-07,2016-07-09
40,38,2016-07-05,,9,8,4,Rasmussen,2016-07-05,2016-07-05
42,40,2016-07-05,,,13,5,Rasmussen,2016-07-05,2016-07-05
36,40,2016-07-05,,9,,14,Penn Schoen Berland,2016-07-01,2016-07-05
43,39,2016-06-29,,,12,5,Rasmussen,2016-06-28,2016-06-29
40,46,2016-06-29,,,,14,Suffolk/USA Today,2016-06-26,2016-06-29
35,39,2016-06-29,,8,3,15,Suffolk/USA Today,2016-06-26,2016-06-29
41,45,2016-06-28,,5,2,7,PPP (D),2016-06-27,2016-06-28
44,48,2016-06-28,,,,7,PPP (D),2016-06-27,2016-06-28
37,48,2016-06-28,,8,3,4,GQR (D-Democracy Corps),2016-06-23,2016-06-28
39,44,2016-06-21,,,11,6,Rasmussen,2016-06-20,2016-06-21
39,44,2016-06-15,,,14,4,Rasmussen,2016-06-14,2016-06-15
37,49,2016-06-13,,9,,5,Bloomberg/Selzer,2016-06-10,2016-06-13
36,54,2016-06-13,,,,9,Bloomberg/Selzer,2016-06-10,2016-06-13
38,42,2016-06-07,,,15,5,Rasmussen,2016-06-06,2016-06-07
38,39,2016-06-01,,,18,5,Rasmussen,2016-05-31,2016-06-01
39,40,2016-05-24,,,14,7,Rasmussen,2016-05-23,2016-05-24
42,44,2016-05-19,,,,14,Schoen (D),2016-05-16,2016-05-19
42,37,2016-05-18,,,13,7,Rasmussen,2016-05-17,2016-05-18
42,46,2016-05-16,,,,12,McLaughlin (R),2016-05-11,2016-05-16
38,42,2016-05-09,,4,2,13,PPP (D),2016-05-06,2016-05-09
41,47,2016-05-09,,,,12,PPP (D),2016-05-06,2016-05-09
41,39,2016-04-28,,,15,5,Rasmussen,2016-04-27,2016-04-28
38,38,2016-04-26,,,16,2,Rasmussen,2016-04-25,2016-04-26
39,50,2016-04-24,,,,10,Suffolk/USA Today,2016-04-20,2016-04-24
40,47,2016-04-20,,,,14,Zogby (Internet),2016-04-19,2016-04-20
43,46,2016-04-20,,,,11,GWU/Battleground,2016-04-17,2016-04-20
41,48,2016-03-26,,,,11,PPP (D),2016-03-24,2016-03-26
40,53,2016-03-24,,,1,6,GQR (D-Democracy Corps/Women's Voices Women Vote),2016-03-17,2016-03-24
41,48,2016-03-23,,,,12,McLaughlin (R),2016-03-17,2016-03-23
36,54,2016-03-22,,,,9,Bloomberg/Selzer,2016-03-19,2016-03-22
36,41,2016-03-01,,,21,3,Rasmussen,2016-02-29,2016-03-01
45,43,2016-02-15,,,,14,Suffolk/USA Today,2016-02-11,2016-02-15
40,47,2016-02-03,,,,13,PPP (D),2016-02-02,2016-02-03
45,45,2016-01-20,,,,10,Zogby (Internet),2016-01-19,2016-01-20
36,37,2015-12-23,,,22,5,Rasmussen,2015-12-22,2015-12-23
43,46,2015-12-17,,,,11,PPP (D),2015-12-16,2015-12-17
44,47,2015-12-06,,,,8,Suffolk/USA Today,2015-12-02,2015-12-06
37,51,2015-12-03,,,,,Saint Leo University,2015-11-29,2015-12-03
44,45,2015-11-17,,,,11,PPP (D),2015-11-16,2015-11-17
37,41,2015-10-31,,,16,6,Zogby (Internet),2015-10-30,2015-10-31
38,47,2015-10-22,,,,,Saint Leo University,2015-10-17,2015-10-22
44,44,2015-10-04,,,,12,PPP (D),2015-10-01,2015-10-04
47,43,2015-09-08,,,,11,Emerson College Polling Society,2015-09-05,2015-09-08
44,46,2015-08-30,,,,11,PPP (D),2015-08-28,2015-08-30
40,49,2015-07-28,,,,12,Emerson College Polling Society,2015-07-26,2015-07-28
37,50,2015-07-21,,,,13,PPP (D),2015-07-20,2015-07-21
34,51,2015-07-12,,,,16,Suffolk/USA Today,2015-07-09,2015-07-12
