Trump	Clinton	Johnson	Other	Undecided	survey_house	start_date	end_date
35	40	7	7	11	Ipsos/Reuters	2016-08-06	2016-08-10
45	50		5		UPI/CVOTER	2016-08-03	2016-08-10
46	48		6		UPI/CVOTER	2016-08-03	2016-08-09
40	44	9	4	3	Bloomberg/Selzer	2016-08-05	2016-08-08
44	50		3	3	Bloomberg/Selzer	2016-08-05	2016-08-08
45	49		6		UPI/CVOTER	2016-08-02	2016-08-08
37	50	7	3	3	Monmouth University	2016-08-04	2016-08-07
44	49		7		UPI/CVOTER	2016-08-01	2016-08-07
43	50		7		UPI/CVOTER	2016-07-31	2016-08-06
44	51		3	1	ABC/Post	2016-08-01	2016-08-04
39	47	7	4	4	ABC/Post	2016-08-01	2016-08-04
44	50		6		UPI/CVOTER	2016-07-29	2016-08-04
39	43		9	10	Ipsos/Reuters	2016-07-30	2016-08-03
38	42	6	4	10	Ipsos/Reuters	2016-07-30	2016-08-03
44	50		7		UPI/CVOTER	2016-07-28	2016-08-03
40	44	6	6	4	Rasmussen	2016-08-01	2016-08-02
46	49		5		UPI/CVOTER	2016-07-27	2016-08-02
40	45	5		10	Penn Schoen Berland	2016-07-29	2016-08-01
46	49		5		UPI/CVOTER	2016-07-25	2016-07-31
41	46	6	2	5	PPP (D)	2016-07-29	2016-07-30
45	50			5	PPP (D)	2016-07-29	2016-07-30
31	46	7	2	15	RABA Research	2016-07-29	2016-07-29
35	40		8	17	Ipsos/Reuters	2016-07-25	2016-07-29
37	37	5	6	15	Ipsos/Reuters	2016-07-25	2016-07-29
42	43		10	4	Rasmussen	2016-07-26	2016-07-27
44	41	6		10	Penn Schoen Berland	2016-07-22	2016-07-24
34	39	8	3	15	RABA Research	2016-07-22	2016-07-22
43	42		11	4	Rasmussen	2016-07-18	2016-07-19
40	43	11	4	2	GQR (D-Democracy Corps)	2016-07-13	2016-07-18
43	50		1	6	GQR (D-Democracy Corps)	2016-07-13	2016-07-18
41	44	7	5	3	Franklin Pierce/RKM/Boston Herald	2016-07-12	2016-07-16
44	37		13	6	Rasmussen	2016-07-12	2016-07-13
29	41	9	2	18	RABA Research	2016-07-07	2016-07-09
40	38	9	8	4	Rasmussen	2016-07-05	2016-07-05
42	40		13	5	Rasmussen	2016-07-05	2016-07-05
36	40	9		14	Penn Schoen Berland	2016-07-01	2016-07-05
43	39		12	5	Rasmussen	2016-06-28	2016-06-29
40	46			14	Suffolk/USA Today	2016-06-26	2016-06-29
35	39	8	3	15	Suffolk/USA Today	2016-06-26	2016-06-29
41	45	5	2	7	PPP (D)	2016-06-27	2016-06-28
44	48			7	PPP (D)	2016-06-27	2016-06-28
37	48	8	3	4	GQR (D-Democracy Corps)	2016-06-23	2016-06-28
39	44		11	6	Rasmussen	2016-06-20	2016-06-21
39	44		14	4	Rasmussen	2016-06-14	2016-06-15
37	49	9		5	Bloomberg/Selzer	2016-06-10	2016-06-13
36	54			9	Bloomberg/Selzer	2016-06-10	2016-06-13
38	42		15	5	Rasmussen	2016-06-06	2016-06-07
38	39		18	5	Rasmussen	2016-05-31	2016-06-01
39	40		14	7	Rasmussen	2016-05-23	2016-05-24
42	44			14	Schoen (D)	2016-05-16	2016-05-19
42	37		13	7	Rasmussen	2016-05-17	2016-05-18
42	46			12	McLaughlin (R)	2016-05-11	2016-05-16
38	42	4	2	13	PPP (D)	2016-05-06	2016-05-09
41	47			12	PPP (D)	2016-05-06	2016-05-09
41	39		15	5	Rasmussen	2016-04-27	2016-04-28
38	38		16	2	Rasmussen	2016-04-25	2016-04-26
39	50			10	Suffolk/USA Today	2016-04-20	2016-04-24
40	47			14	Zogby (Internet)	2016-04-19	2016-04-20
43	46			11	GWU/Battleground	2016-04-17	2016-04-20
41	48			11	PPP (D)	2016-03-24	2016-03-26
40	53		1	6	GQR (D-Democracy Corps/Women's Voices Women Vote)	2016-03-17	2016-03-24
41	48			12	McLaughlin (R)	2016-03-17	2016-03-23
36	54			9	Bloomberg/Selzer	2016-03-19	2016-03-22
36	41		21	3	Rasmussen	2016-02-29	2016-03-01
45	43			14	Suffolk/USA Today	2016-02-11	2016-02-15
40	47			13	PPP (D)	2016-02-02	2016-02-03
45	45			10	Zogby (Internet)	2016-01-19	2016-01-20
36	37		22	5	Rasmussen	2015-12-22	2015-12-23
43	46			11	PPP (D)	2015-12-16	2015-12-17
44	47			8	Suffolk/USA Today	2015-12-02	2015-12-06
37	51				Saint Leo University	2015-11-29	2015-12-03
44	45			11	PPP (D)	2015-11-16	2015-11-17
37	41		16	6	Zogby (Internet)	2015-10-30	2015-10-31
38	47				Saint Leo University	2015-10-17	2015-10-22
44	44			12	PPP (D)	2015-10-01	2015-10-04
47	43			11	Emerson College Polling Society	2015-09-05	2015-09-08
44	46			11	PPP (D)	2015-08-28	2015-08-30
40	49			12	Emerson College Polling Society	2015-07-26	2015-07-28
37	50			13	PPP (D)	2015-07-20	2015-07-21
34	51			16	Suffolk/USA Today	2015-07-09	2015-07-12
